Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Total_Score,Risk_Profile
(b) 36-45,"(c) $100,000 - $199,999","(c) $250,000 - $999,999",(a) Retirement,(c) 11-20 years,(c) Experienced,(a) Very stable,(c) Not important,(c) Opportunity,(d) Buy more,"(d) A 5% chance of winning $100,000","(d) $4,800 gain / $2,400 loss",41,Aggressive
(c) 46-59,"(b) $50,000 - $99,999","(a) Less than $50,000",(c) General Wealth Growth,(d) More than 20 years,(a) Very Inexperienced,(a) Very stable,(c) Not important,(c) Opportunity,(c) Hold and do nothing,"(b) A 50% chance of winning $5,000",(b) $800 gain / $200 loss,32,Moderate
(d) 60-70,"(c) $100,000 - $199,999","(b) $50,000 - $249,999",(d) Generating Income,(c) 11-20 years,(d) Very Experienced,(b) Moderately stable,(c) Not important,(a) Loss,(c) Hold and do nothing,"(c) A 25% chance of winning $10,000",(b) $800 gain / $200 loss,29,Moderate
(a) Under 35,"(a) Less than $50,000","(a) Less than $50,000",(a) Retirement,(c) 11-20 years,(a) Very Inexperienced,(b) Moderately stable,(a) Very important,(b) Uncertainty,(c) Hold and do nothing,"(b) A 50% chance of winning $5,000",(b) $800 gain / $200 loss,27,Moderate
(c) 46-59,"(a) Less than $50,000","(a) Less than $50,000",(d) Generating Income,(b) 4-10 years,(a) Very Inexperienced,(b) Moderately stable,(a) Very important,(b) Uncertainty,(a) Sell all,"(a) $1,000 in cash","(c) $2,600 gain / $800 loss",19,Conservative
(a) Under 35,"(d) More than $200,000","(c) $250,000 - $999,999",(b) Major Purchase,(b) 4-10 years,(c) Experienced,(b) Moderately stable,(c) Not important,(b) Uncertainty,(b) Sell some,"(d) A 5% chance of winning $100,000","(d) $4,800 gain / $2,400 loss",36,Aggressive
(b) 36-45,"(d) More than $200,000","(c) $250,000 - $999,999",(c) General Wealth Growth,(c) 11-20 years,(b) Somewhat Inexperienced,(a) Very stable,(c) Not important,(c) Opportunity,(d) Buy more,"(c) A 25% chance of winning $10,000","(c) $2,600 gain / $800 loss",40,Aggressive
(d) 60-70,"(d) More than $200,000","(a) Less than $50,000",(b) Major Purchase,(c) 11-20 years,(a) Very Inexperienced,(b) Moderately stable,(a) Very important,(b) Uncertainty,(b) Sell some,"(a) $1,000 in cash",(b) $800 gain / $200 loss,23,Conservative
(c) 46-59,"(b) $50,000 - $99,999","(b) $50,000 - $249,999",(d) Generating Income,(c) 11-20 years,(b) Somewhat Inexperienced,(c) Uncertain / High risk,(a) Very important,(a) Loss,(a) Sell all,"(a) $1,000 in cash",(a) $200 gain / $0 loss,19,Conservative
(d) 60-70,"(c) $100,000 - $199,999","(c) $250,000 - $999,999",(b) Major Purchase,(d) More than 20 years,(c) Experienced,(c) Uncertain / High risk,(c) Not important,(d) Thrill,(d) Buy more,"(d) A 5% chance of winning $100,000","(c) $2,600 gain / $800 loss",36,Aggressive
(e) Over 70,"(b) $50,000 - $99,999","(c) $250,000 - $999,999",(b) Major Purchase,(d) More than 20 years,(b) Somewhat Inexperienced,(b) Moderately stable,(c) Not important,(c) Opportunity,(a) Sell all,"(c) A 25% chance of winning $10,000",(b) $800 gain / $200 loss,28,Moderate
(c) 46-59,"(a) Less than $50,000","(a) Less than $50,000",(c) General Wealth Growth,(c) 11-20 years,(b) Somewhat Inexperienced,(a) Very stable,(c) Not important,(d) Thrill,(d) Buy more,"(d) A 5% chance of winning $100,000","(c) $2,600 gain / $800 loss",36,Aggressive
(e) Over 70,"(c) $100,000 - $199,999","(a) Less than $50,000",(a) Retirement,(b) 4-10 years,(b) Somewhat Inexperienced,(b) Moderately stable,(c) Not important,(a) Loss,(b) Sell some,"(c) A 25% chance of winning $10,000",(b) $800 gain / $200 loss,26,Moderate
(a) Under 35,"(c) $100,000 - $199,999","(b) $50,000 - $249,999",(c) General Wealth Growth,(c) 11-20 years,(d) Very Experienced,(a) Very stable,(a) Very important,(c) Opportunity,(c) Hold and do nothing,"(d) A 5% chance of winning $100,000","(c) $2,600 gain / $800 loss",39,Aggressive
(d) 60-70,"(a) Less than $50,000","(a) Less than $50,000",(d) Generating Income,(a) Less than 4 years,(a) Very Inexperienced,(a) Very stable,(b) Moderately important,(a) Loss,(b) Sell some,"(a) $1,000 in cash",(a) $200 gain / $0 loss,17,Conservative
(c) 46-59,"(a) Less than $50,000","(a) Less than $50,000",(d) Generating Income,(a) Less than 4 years,(c) Experienced,(b) Moderately stable,(b) Moderately important,(a) Loss,(b) Sell some,"(a) $1,000 in cash",(a) $200 gain / $0 loss,19,Conservative
(d) 60-70,"(b) $50,000 - $99,999","(a) Less than $50,000",(b) Major Purchase,(d) More than 20 years,(b) Somewhat Inexperienced,(c) Uncertain / High risk,(c) Not important,(a) Loss,(c) Hold and do nothing,"(c) A 25% chance of winning $10,000",(a) $200 gain / $0 loss,25,Moderate
(e) Over 70,"(b) $50,000 - $99,999","(a) Less than $50,000",(d) Generating Income,(d) More than 20 years,(b) Somewhat Inexperienced,(c) Uncertain / High risk,(a) Very important,(a) Loss,(a) Sell all,"(b) A 50% chance of winning $5,000",(a) $200 gain / $0 loss,18,Conservative
(b) 36-45,"(d) More than $200,000","(b) $50,000 - $249,999",(c) General Wealth Growth,(c) 11-20 years,(c) Experienced,(a) Very stable,(c) Not important,(d) Thrill,(d) Buy more,"(d) A 5% chance of winning $100,000","(d) $4,800 gain / $2,400 loss",43,Aggressive
(a) Under 35,"(b) $50,000 - $99,999","(a) Less than $50,000",(a) Retirement,(c) 11-20 years,(d) Very Experienced,(b) Moderately stable,(b) Moderately important,(a) Loss,(d) Buy more,"(c) A 25% chance of winning $10,000",(a) $200 gain / $0 loss,32,Moderate
(b) 36-45,"(d) More than $200,000","(d) $1,000,000 or more",(c) General Wealth Growth,(d) More than 20 years,(c) Experienced,(a) Very stable,(b) Moderately important,(c) Opportunity,(c) Hold and do nothing,"(c) A 25% chance of winning $10,000",(b) $800 gain / $200 loss,40,Aggressive
(d) 60-70,"(a) Less than $50,000","(d) $1,000,000 or more",(c) General Wealth Growth,(a) Less than 4 years,(b) Somewhat Inexperienced,(b) Moderately stable,(a) Very important,(a) Loss,(a) Sell all,"(b) A 50% chance of winning $5,000",(a) $200 gain / $0 loss,23,Conservative
(a) Under 35,"(c) $100,000 - $199,999","(c) $250,000 - $999,999",(d) Generating Income,(d) More than 20 years,(d) Very Experienced,(a) Very stable,(b) Moderately important,(d) Thrill,(c) Hold and do nothing,"(c) A 25% chance of winning $10,000","(d) $4,800 gain / $2,400 loss",39,Aggressive
(c) 46-59,"(a) Less than $50,000","(c) $250,000 - $999,999",(c) General Wealth Growth,(d) More than 20 years,(d) Very Experienced,(b) Moderately stable,(c) Not important,(d) Thrill,(d) Buy more,"(c) A 25% chance of winning $10,000","(d) $4,800 gain / $2,400 loss",40,Aggressive
(a) Under 35,"(c) $100,000 - $199,999","(b) $50,000 - $249,999",(a) Retirement,(b) 4-10 years,(b) Somewhat Inexperienced,(a) Very stable,(b) Moderately important,(c) Opportunity,(b) Sell some,"(b) A 50% chance of winning $5,000","(c) $2,600 gain / $800 loss",33,Moderate
(c) 46-59,"(a) Less than $50,000","(c) $250,000 - $999,999",(c) General Wealth Growth,(c) 11-20 years,(c) Experienced,(a) Very stable,(b) Moderately important,(d) Thrill,(d) Buy more,"(c) A 25% chance of winning $10,000","(c) $2,600 gain / $800 loss",37,Aggressive
(a) Under 35,"(d) More than $200,000","(c) $250,000 - $999,999",(c) General Wealth Growth,(d) More than 20 years,(d) Very Experienced,(b) Moderately stable,(c) Not important,(d) Thrill,(d) Buy more,"(d) A 5% chance of winning $100,000","(d) $4,800 gain / $2,400 loss",46,Aggressive
(a) Under 35,"(d) More than $200,000","(b) $50,000 - $249,999",(d) Generating Income,(b) 4-10 years,(c) Experienced,(a) Very stable,(c) Not important,(c) Opportunity,(d) Buy more,"(d) A 5% chance of winning $100,000","(c) $2,600 gain / $800 loss",37,Aggressive
(d) 60-70,"(a) Less than $50,000","(a) Less than $50,000",(d) Generating Income,(a) Less than 4 years,(b) Somewhat Inexperienced,(b) Moderately stable,(a) Very important,(a) Loss,(a) Sell all,"(a) $1,000 in cash",(a) $200 gain / $0 loss,15,Conservative
(b) 36-45,"(a) Less than $50,000","(b) $50,000 - $249,999",(c) General Wealth Growth,(c) 11-20 years,(b) Somewhat Inexperienced,(b) Moderately stable,(c) Not important,(b) Uncertainty,(c) Hold and do nothing,"(d) A 5% chance of winning $100,000",(a) $200 gain / $0 loss,32,Moderate
(d) 60-70,"(b) $50,000 - $99,999","(a) Less than $50,000",(d) Generating Income,(a) Less than 4 years,(a) Very Inexperienced,(b) Moderately stable,(a) Very important,(a) Loss,(b) Sell some,"(a) $1,000 in cash",(a) $200 gain / $0 loss,16,Conservative
(a) Under 35,"(d) More than $200,000","(b) $50,000 - $249,999",(c) General Wealth Growth,(c) 11-20 years,(c) Experienced,(b) Moderately stable,(c) Not important,(d) Thrill,(b) Sell some,"(d) A 5% chance of winning $100,000",(b) $800 gain / $200 loss,39,Aggressive
(b) 36-45,"(d) More than $200,000","(a) Less than $50,000",(a) Retirement,(d) More than 20 years,(c) Experienced,(c) Uncertain / High risk,(b) Moderately important,(a) Loss,(c) Hold and do nothing,"(d) A 5% chance of winning $100,000","(d) $4,800 gain / $2,400 loss",35,Moderate
(e) Over 70,"(b) $50,000 - $99,999","(c) $250,000 - $999,999",(a) Retirement,(a) Less than 4 years,(c) Experienced,(c) Uncertain / High risk,(a) Very important,(b) Uncertainty,(c) Hold and do nothing,"(a) $1,000 in cash",(a) $200 gain / $0 loss,23,Conservative
(c) 46-59,"(d) More than $200,000","(d) $1,000,000 or more",(c) General Wealth Growth,(d) More than 20 years,(d) Very Experienced,(b) Moderately stable,(a) Very important,(d) Thrill,(b) Sell some,"(d) A 5% chance of winning $100,000","(c) $2,600 gain / $800 loss",40,Aggressive
(b) 36-45,"(a) Less than $50,000","(b) $50,000 - $249,999",(d) Generating Income,(a) Less than 4 years,(a) Very Inexperienced,(a) Very stable,(a) Very important,(a) Loss,(a) Sell all,"(a) $1,000 in cash",(a) $200 gain / $0 loss,18,Conservative
(a) Under 35,"(a) Less than $50,000","(c) $250,000 - $999,999",(b) Major Purchase,(a) Less than 4 years,(b) Somewhat Inexperienced,(c) Uncertain / High risk,(b) Moderately important,(a) Loss,(a) Sell all,"(b) A 50% chance of winning $5,000",(a) $200 gain / $0 loss,22,Conservative
(d) 60-70,"(a) Less than $50,000","(c) $250,000 - $999,999",(d) Generating Income,(c) 11-20 years,(a) Very Inexperienced,(c) Uncertain / High risk,(b) Moderately important,(b) Uncertainty,(b) Sell some,"(b) A 50% chance of winning $5,000",(b) $800 gain / $200 loss,22,Conservative
(b) 36-45,"(c) $100,000 - $199,999","(a) Less than $50,000",(a) Retirement,(a) Less than 4 years,(b) Somewhat Inexperienced,(c) Uncertain / High risk,(a) Very important,(a) Loss,(a) Sell all,"(a) $1,000 in cash",(a) $200 gain / $0 loss,21,Conservative
(a) Under 35,"(b) $50,000 - $99,999","(b) $50,000 - $249,999",(c) General Wealth Growth,(d) More than 20 years,(c) Experienced,(b) Moderately stable,(c) Not important,(d) Thrill,(d) Buy more,"(d) A 5% chance of winning $100,000","(d) $4,800 gain / $2,400 loss",42,Aggressive
(b) 36-45,"(a) Less than $50,000","(b) $50,000 - $249,999",(d) Generating Income,(b) 4-10 years,(a) Very Inexperienced,(b) Moderately stable,(a) Very important,(a) Loss,(a) Sell all,"(a) $1,000 in cash",(a) $200 gain / $0 loss,18,Conservative
(d) 60-70,"(a) Less than $50,000","(c) $250,000 - $999,999",(c) General Wealth Growth,(c) 11-20 years,(c) Experienced,(a) Very stable,(c) Not important,(b) Uncertainty,(c) Hold and do nothing,"(a) $1,000 in cash",(b) $800 gain / $200 loss,31,Moderate
(a) Under 35,"(c) $100,000 - $199,999","(b) $50,000 - $249,999",(b) Major Purchase,(d) More than 20 years,(c) Experienced,(a) Very stable,(c) Not important,(d) Thrill,(c) Hold and do nothing,"(c) A 25% chance of winning $10,000","(c) $2,600 gain / $800 loss",38,Aggressive
(a) Under 35,"(b) $50,000 - $99,999","(a) Less than $50,000",(a) Retirement,(c) 11-20 years,(b) Somewhat Inexperienced,(b) Moderately stable,(c) Not important,(a) Loss,(c) Hold and do nothing,"(b) A 50% chance of winning $5,000","(c) $2,600 gain / $800 loss",31,Moderate
(a) Under 35,"(c) $100,000 - $199,999","(c) $250,000 - $999,999",(a) Retirement,(d) More than 20 years,(b) Somewhat Inexperienced,(b) Moderately stable,(a) Very important,(a) Loss,(b) Sell some,"(b) A 50% chance of winning $5,000",(b) $800 gain / $200 loss,31,Moderate
(a) Under 35,"(a) Less than $50,000","(a) Less than $50,000",(a) Retirement,(d) More than 20 years,(a) Very Inexperienced,(a) Very stable,(c) Not important,(a) Loss,(a) Sell all,"(c) A 25% chance of winning $10,000","(c) $2,600 gain / $800 loss",30,Moderate
(e) Over 70,"(b) $50,000 - $99,999","(a) Less than $50,000",(a) Retirement,(b) 4-10 years,(c) Experienced,(a) Very stable,(c) Not important,(c) Opportunity,(a) Sell all,"(c) A 25% chance of winning $10,000",(a) $200 gain / $0 loss,27,Moderate
(b) 36-45,"(d) More than $200,000","(c) $250,000 - $999,999",(c) General Wealth Growth,(b) 4-10 years,(c) Experienced,(a) Very stable,(c) Not important,(b) Uncertainty,(d) Buy more,"(b) A 50% chance of winning $5,000","(c) $2,600 gain / $800 loss",38,Aggressive
(d) 60-70,"(a) Less than $50,000","(a) Less than $50,000",(c) General Wealth Growth,(a) Less than 4 years,(b) Somewhat Inexperienced,(b) Moderately stable,(b) Moderately important,(b) Uncertainty,(a) Sell all,"(b) A 50% chance of winning $5,000",(b) $800 gain / $200 loss,23,Conservative
(a) Under 35,"(d) More than $200,000","(d) $1,000,000 or more",(c) General Wealth Growth,(c) 11-20 years,(d) Very Experienced,(a) Very stable,(c) Not important,(d) Thrill,(b) Sell some,"(d) A 5% chance of winning $100,000","(d) $4,800 gain / $2,400 loss",45,Aggressive
(d) 60-70,"(c) $100,000 - $199,999","(c) $250,000 - $999,999",(d) Generating Income,(a) Less than 4 years,(c) Experienced,(b) Moderately stable,(a) Very important,(b) Uncertainty,(a) Sell all,"(b) A 50% chance of winning $5,000",(a) $200 gain / $0 loss,22,Conservative
(c) 46-59,"(d) More than $200,000","(c) $250,000 - $999,999",(a) Retirement,(c) 11-20 years,(c) Experienced,(a) Very stable,(b) Moderately important,(c) Opportunity,(c) Hold and do nothing,"(c) A 25% chance of winning $10,000","(d) $4,800 gain / $2,400 loss",38,Aggressive
(c) 46-59,"(a) Less than $50,000","(b) $50,000 - $249,999",(a) Retirement,(d) More than 20 years,(c) Experienced,(a) Very stable,(c) Not important,(c) Opportunity,(d) Buy more,"(b) A 50% chance of winning $5,000",(b) $800 gain / $200 loss,34,Moderate
(e) Over 70,"(a) Less than $50,000","(a) Less than $50,000",(d) Generating Income,(b) 4-10 years,(a) Very Inexperienced,(b) Moderately stable,(a) Very important,(a) Loss,(c) Hold and do nothing,"(a) $1,000 in cash",(a) $200 gain / $0 loss,16,Conservative
(b) 36-45,"(b) $50,000 - $99,999","(c) $250,000 - $999,999",(c) General Wealth Growth,(c) 11-20 years,(d) Very Experienced,(a) Very stable,(c) Not important,(d) Thrill,(d) Buy more,"(d) A 5% chance of winning $100,000","(c) $2,600 gain / $800 loss",42,Aggressive
(a) Under 35,"(b) $50,000 - $99,999","(b) $50,000 - $249,999",(c) General Wealth Growth,(b) 4-10 years,(c) Experienced,(b) Moderately stable,(b) Moderately important,(b) Uncertainty,(a) Sell all,"(a) $1,000 in cash",(a) $200 gain / $0 loss,28,Moderate
(a) Under 35,"(a) Less than $50,000","(c) $250,000 - $999,999",(c) General Wealth Growth,(d) More than 20 years,(d) Very Experienced,(b) Moderately stable,(c) Not important,(c) Opportunity,(d) Buy more,"(d) A 5% chance of winning $100,000","(d) $4,800 gain / $2,400 loss",42,Aggressive
(a) Under 35,"(b) $50,000 - $99,999","(c) $250,000 - $999,999",(a) Retirement,(d) More than 20 years,(c) Experienced,(a) Very stable,(c) Not important,(d) Thrill,(d) Buy more,"(d) A 5% chance of winning $100,000","(d) $4,800 gain / $2,400 loss",43,Aggressive
(e) Over 70,"(a) Less than $50,000","(b) $50,000 - $249,999",(d) Generating Income,(a) Less than 4 years,(b) Somewhat Inexperienced,(a) Very stable,(b) Moderately important,(a) Loss,(b) Sell some,"(a) $1,000 in cash",(b) $800 gain / $200 loss,19,Conservative
(c) 46-59,"(c) $100,000 - $199,999","(a) Less than $50,000",(c) General Wealth Growth,(b) 4-10 years,(a) Very Inexperienced,(c) Uncertain / High risk,(a) Very important,(a) Loss,(b) Sell some,"(a) $1,000 in cash",(a) $200 gain / $0 loss,22,Conservative
(c) 46-59,"(a) Less than $50,000","(a) Less than $50,000",(a) Retirement,(c) 11-20 years,(c) Experienced,(a) Very stable,(a) Very important,(a) Loss,(c) Hold and do nothing,"(d) A 5% chance of winning $100,000","(c) $2,600 gain / $800 loss",30,Moderate
(e) Over 70,"(b) $50,000 - $99,999","(a) Less than $50,000",(c) General Wealth Growth,(c) 11-20 years,(a) Very Inexperienced,(b) Moderately stable,(a) Very important,(a) Loss,(a) Sell all,"(a) $1,000 in cash",(a) $200 gain / $0 loss,20,Conservative
(c) 46-59,"(c) $100,000 - $199,999","(a) Less than $50,000",(a) Retirement,(c) 11-20 years,(c) Experienced,(a) Very stable,(c) Not important,(c) Opportunity,(c) Hold and do nothing,"(b) A 50% chance of winning $5,000","(d) $4,800 gain / $2,400 loss",35,Moderate
(b) 36-45,"(b) $50,000 - $99,999","(d) $1,000,000 or more",(c) General Wealth Growth,(c) 11-20 years,(d) Very Experienced,(a) Very stable,(c) Not important,(b) Uncertainty,(d) Buy more,"(d) A 5% chance of winning $100,000","(c) $2,600 gain / $800 loss",41,Aggressive
(d) 60-70,"(b) $50,000 - $99,999","(b) $50,000 - $249,999",(b) Major Purchase,(a) Less than 4 years,(b) Somewhat Inexperienced,(c) Uncertain / High risk,(a) Very important,(a) Loss,(b) Sell some,"(a) $1,000 in cash",(a) $200 gain / $0 loss,18,Conservative
(c) 46-59,"(a) Less than $50,000","(c) $250,000 - $999,999",(d) Generating Income,(a) Less than 4 years,(a) Very Inexperienced,(b) Moderately stable,(a) Very important,(a) Loss,(a) Sell all,"(a) $1,000 in cash",(a) $200 gain / $0 loss,17,Conservative
(a) Under 35,"(d) More than $200,000","(d) $1,000,000 or more",(b) Major Purchase,(c) 11-20 years,(c) Experienced,(c) Uncertain / High risk,(c) Not important,(b) Uncertainty,(c) Hold and do nothing,"(d) A 5% chance of winning $100,000","(d) $4,800 gain / $2,400 loss",38,Aggressive
(b) 36-45,"(a) Less than $50,000","(b) $50,000 - $249,999",(d) Generating Income,(b) 4-10 years,(b) Somewhat Inexperienced,(c) Uncertain / High risk,(b) Moderately important,(a) Loss,(a) Sell all,"(a) $1,000 in cash","(c) $2,600 gain / $800 loss",21,Conservative
(a) Under 35,"(b) $50,000 - $99,999","(b) $50,000 - $249,999",(b) Major Purchase,(d) More than 20 years,(d) Very Experienced,(b) Moderately stable,(c) Not important,(d) Thrill,(c) Hold and do nothing,"(c) A 25% chance of winning $10,000","(c) $2,600 gain / $800 loss",37,Aggressive
(a) Under 35,"(c) $100,000 - $199,999","(d) $1,000,000 or more",(c) General Wealth Growth,(d) More than 20 years,(c) Experienced,(a) Very stable,(b) Moderately important,(d) Thrill,(d) Buy more,"(d) A 5% chance of winning $100,000","(d) $4,800 gain / $2,400 loss",45,Aggressive
(a) Under 35,"(c) $100,000 - $199,999","(d) $1,000,000 or more",(c) General Wealth Growth,(d) More than 20 years,(d) Very Experienced,(a) Very stable,(c) Not important,(d) Thrill,(d) Buy more,"(d) A 5% chance of winning $100,000","(d) $4,800 gain / $2,400 loss",47,Aggressive
(c) 46-59,"(c) $100,000 - $199,999","(c) $250,000 - $999,999",(d) Generating Income,(c) 11-20 years,(b) Somewhat Inexperienced,(b) Moderately stable,(c) Not important,(a) Loss,(c) Hold and do nothing,"(a) $1,000 in cash","(c) $2,600 gain / $800 loss",28,Moderate
(a) Under 35,"(c) $100,000 - $199,999","(d) $1,000,000 or more",(c) General Wealth Growth,(d) More than 20 years,(d) Very Experienced,(a) Very stable,(c) Not important,(d) Thrill,(c) Hold and do nothing,"(d) A 5% chance of winning $100,000","(d) $4,800 gain / $2,400 loss",46,Aggressive
(e) Over 70,"(a) Less than $50,000","(a) Less than $50,000",(d) Generating Income,(b) 4-10 years,(a) Very Inexperienced,(c) Uncertain / High risk,(a) Very important,(a) Loss,(a) Sell all,"(a) $1,000 in cash",(a) $200 gain / $0 loss,13,Conservative
(e) Over 70,"(b) $50,000 - $99,999","(b) $50,000 - $249,999",(d) Generating Income,(c) 11-20 years,(a) Very Inexperienced,(a) Very stable,(a) Very important,(b) Uncertainty,(a) Sell all,"(c) A 25% chance of winning $10,000",(b) $800 gain / $200 loss,22,Conservative
(c) 46-59,"(c) $100,000 - $199,999","(a) Less than $50,000",(d) Generating Income,(c) 11-20 years,(a) Very Inexperienced,(b) Moderately stable,(b) Moderately important,(c) Opportunity,(a) Sell all,"(a) $1,000 in cash",(a) $200 gain / $0 loss,22,Conservative
(c) 46-59,"(c) $100,000 - $199,999","(b) $50,000 - $249,999",(a) Retirement,(a) Less than 4 years,(a) Very Inexperienced,(c) Uncertain / High risk,(b) Moderately important,(a) Loss,(b) Sell some,"(a) $1,000 in cash",(a) $200 gain / $0 loss,22,Conservative
(a) Under 35,"(d) More than $200,000","(c) $250,000 - $999,999",(c) General Wealth Growth,(d) More than 20 years,(c) Experienced,(c) Uncertain / High risk,(c) Not important,(b) Uncertainty,(d) Buy more,"(c) A 25% chance of winning $10,000","(c) $2,600 gain / $800 loss",40,Aggressive
(d) 60-70,"(a) Less than $50,000","(a) Less than $50,000",(d) Generating Income,(b) 4-10 years,(a) Very Inexperienced,(b) Moderately stable,(a) Very important,(a) Loss,(b) Sell some,"(a) $1,000 in cash",(a) $200 gain / $0 loss,16,Conservative
(d) 60-70,"(c) $100,000 - $199,999","(c) $250,000 - $999,999",(c) General Wealth Growth,(d) More than 20 years,(c) Experienced,(a) Very stable,(c) Not important,(b) Uncertainty,(c) Hold and do nothing,"(d) A 5% chance of winning $100,000","(d) $4,800 gain / $2,400 loss",39,Aggressive
(c) 46-59,"(c) $100,000 - $199,999","(a) Less than $50,000",(c) General Wealth Growth,(b) 4-10 years,(b) Somewhat Inexperienced,(c) Uncertain / High risk,(a) Very important,(b) Uncertainty,(a) Sell all,"(d) A 5% chance of winning $100,000",(a) $200 gain / $0 loss,26,Moderate
(b) 36-45,"(c) $100,000 - $199,999","(c) $250,000 - $999,999",(a) Retirement,(d) More than 20 years,(b) Somewhat Inexperienced,(a) Very stable,(c) Not important,(a) Loss,(c) Hold and do nothing,"(a) $1,000 in cash",(a) $200 gain / $0 loss,32,Moderate
(a) Under 35,"(b) $50,000 - $99,999","(c) $250,000 - $999,999",(c) General Wealth Growth,(b) 4-10 years,(d) Very Experienced,(a) Very stable,(a) Very important,(d) Thrill,(c) Hold and do nothing,"(d) A 5% chance of winning $100,000","(d) $4,800 gain / $2,400 loss",40,Aggressive
(b) 36-45,"(a) Less than $50,000","(a) Less than $50,000",(a) Retirement,(d) More than 20 years,(a) Very Inexperienced,(a) Very stable,(b) Moderately important,(a) Loss,(a) Sell all,"(b) A 50% chance of winning $5,000","(c) $2,600 gain / $800 loss",27,Moderate
(a) Under 35,"(d) More than $200,000","(d) $1,000,000 or more",(c) General Wealth Growth,(d) More than 20 years,(d) Very Experienced,(c) Uncertain / High risk,(c) Not important,(b) Uncertainty,(b) Sell some,"(c) A 25% chance of winning $10,000",(b) $800 gain / $200 loss,39,Aggressive
(b) 36-45,"(c) $100,000 - $199,999","(c) $250,000 - $999,999",(c) General Wealth Growth,(c) 11-20 years,(d) Very Experienced,(a) Very stable,(c) Not important,(d) Thrill,(c) Hold and do nothing,"(c) A 25% chance of winning $10,000",(b) $800 gain / $200 loss,40,Aggressive
(a) Under 35,"(b) $50,000 - $99,999","(c) $250,000 - $999,999",(a) Retirement,(a) Less than 4 years,(c) Experienced,(a) Very stable,(b) Moderately important,(d) Thrill,(a) Sell all,"(b) A 50% chance of winning $5,000",(b) $800 gain / $200 loss,32,Moderate
(e) Over 70,"(a) Less than $50,000","(a) Less than $50,000",(d) Generating Income,(b) 4-10 years,(c) Experienced,(c) Uncertain / High risk,(b) Moderately important,(a) Loss,(b) Sell some,"(b) A 50% chance of winning $5,000",(a) $200 gain / $0 loss,18,Conservative
(e) Over 70,"(c) $100,000 - $199,999","(b) $50,000 - $249,999",(c) General Wealth Growth,(a) Less than 4 years,(a) Very Inexperienced,(c) Uncertain / High risk,(b) Moderately important,(a) Loss,(a) Sell all,"(a) $1,000 in cash",(b) $800 gain / $200 loss,21,Conservative
(a) Under 35,"(c) $100,000 - $199,999","(c) $250,000 - $999,999",(c) General Wealth Growth,(d) More than 20 years,(b) Somewhat Inexperienced,(a) Very stable,(b) Moderately important,(c) Opportunity,(b) Sell some,"(c) A 25% chance of winning $10,000","(d) $4,800 gain / $2,400 loss",39,Aggressive
(a) Under 35,"(b) $50,000 - $99,999","(a) Less than $50,000",(b) Major Purchase,(a) Less than 4 years,(b) Somewhat Inexperienced,(c) Uncertain / High risk,(a) Very important,(a) Loss,(a) Sell all,"(a) $1,000 in cash",(a) $200 gain / $0 loss,19,Conservative
(a) Under 35,"(c) $100,000 - $199,999","(a) Less than $50,000",(d) Generating Income,(d) More than 20 years,(a) Very Inexperienced,(b) Moderately stable,(b) Moderately important,(b) Uncertainty,(c) Hold and do nothing,"(a) $1,000 in cash",(b) $800 gain / $200 loss,27,Moderate
(b) 36-45,"(d) More than $200,000","(b) $50,000 - $249,999",(b) Major Purchase,(c) 11-20 years,(c) Experienced,(a) Very stable,(b) Moderately important,(b) Uncertainty,(a) Sell all,"(b) A 50% chance of winning $5,000","(c) $2,600 gain / $800 loss",31,Moderate
(d) 60-70,"(a) Less than $50,000","(a) Less than $50,000",(c) General Wealth Growth,(c) 11-20 years,(c) Experienced,(a) Very stable,(b) Moderately important,(b) Uncertainty,(c) Hold and do nothing,"(c) A 25% chance of winning $10,000","(c) $2,600 gain / $800 loss",31,Moderate
(b) 36-45,"(a) Less than $50,000","(a) Less than $50,000",(d) Generating Income,(b) 4-10 years,(b) Somewhat Inexperienced,(b) Moderately stable,(a) Very important,(a) Loss,(b) Sell some,"(a) $1,000 in cash",(a) $200 gain / $0 loss,19,Conservative
(d) 60-70,"(b) $50,000 - $99,999","(a) Less than $50,000",(d) Generating Income,(d) More than 20 years,(b) Somewhat Inexperienced,(c) Uncertain / High risk,(a) Very important,(a) Loss,(a) Sell all,"(b) A 50% chance of winning $5,000",(a) $200 gain / $0 loss,19,Conservative
(d) 60-70,"(a) Less than $50,000","(b) $50,000 - $249,999",(c) General Wealth Growth,(a) Less than 4 years,(b) Somewhat Inexperienced,(a) Very stable,(c) Not important,(a) Loss,(a) Sell all,"(b) A 50% chance of winning $5,000","(c) $2,600 gain / $800 loss",26,Moderate
(b) 36-45,"(d) More than $200,000","(b) $50,000 - $249,999",(c) General Wealth Growth,(d) More than 20 years,(d) Very Experienced,(a) Very stable,(c) Not important,(c) Opportunity,(d) Buy more,"(c) A 25% chance of winning $10,000",(b) $800 gain / $200 loss,41,Aggressive
(d) 60-70,"(d) More than $200,000","(a) Less than $50,000",(c) General Wealth Growth,(d) More than 20 years,(c) Experienced,(b) Moderately stable,(b) Moderately important,(b) Uncertainty,(d) Buy more,"(c) A 25% chance of winning $10,000","(d) $4,800 gain / $2,400 loss",36,Aggressive
